draw,rows,mode,patterns,auc
9,40,duplicated,33,0.6022727272727273
9,60,distinct,60,0.6613636363636364
9,60,duplicated,47,0.7829545454545455
9,80,distinct,80,0.6681818181818182
9,80,duplicated,54,0.6795454545454545
9,100,distinct,100,0.7034090909090909
9,100,duplicated,68,0.7545454545454545
9,130,distinct,130,0.6636363636363637
9,130,duplicated,87,0.6897727272727273
9,160,distinct,160,0.7147727272727271
9,160,duplicated,95,0.7454545454545454
9,186,distinct,186,0.7534090909090909
9,186,duplicated,111,0.825
10,20,distinct,20,0.5283613445378151
10,20,duplicated,18,0.4894957983193277
10,40,distinct,40,0.5672268907563025
10,40,duplicated,31,0.5231092436974789
10,60,distinct,60,0.528361344537815
10,60,duplicated,51,0.5325630252100839
10,80,distinct,80,0.5682773109243697
10,80,duplicated,58,0.6029411764705882
10,100,distinct,100,0.6439075630252101
10,100,duplicated,63,0.513655462184874
10,130,distinct,130,0.6355042016806722
10,130,duplicated,84,0.5420168067226891
10,160,distinct,160,0.5777310924369748
10,160,duplicated,97,0.5514705882352942
10,186,distinct,186,0.6008403361344538
10,186,duplicated,105,0.6197478991596639
11,20,distinct,20,0.5754422476586889
11,20,duplicated,17,0.6368366285119667
11,40,distinct,40,0.6170655567117587
11,40,duplicated,38,0.6451612903225807
11,60,distinct,60,0.3735691987513007
11,60,duplicated,49,0.610822060353798
11,80,distinct,80,0.518210197710718
11,80,duplicated,51,0.6701352757544223
11,100,distinct,100,0.6160249739854319
11,100,duplicated,73,0.6045785639958376
11,130,distinct,130,0.6233090530697191
11,130,duplicated,80,0.6129032258064516
11,160,distinct,160,0.5577523413111343
11,160,duplicated,96,0.6555671175858482
11,186,distinct,186,0.5660770031217481
11,186,duplicated,107,0.6108220603537982
12,20,distinct,20,0.6365546218487395
12,20,duplicated,19,0.6481092436974789
12,40,distinct,40,0.5357142857142858
12,40,duplicated,29,0.5567226890756303
12,60,distinct,60,0.6302521008403361
12,60,duplicated,43,0.6302521008403361
12,80,distinct,80,0.5672268907563025
12,80,duplicated,61,0.6355042016806722
12,100,distinct,100,0.5483193277310925
12,100,duplicated,69,0.6386554621848739
12,130,distinct,130,0.5672268907563025
12,130,duplicated,82,0.6617647058823529
12,160,distinct,160,0.6491596638655462
12,160,duplicated,101,0.6407563025210083
12,186,distinct,186,0.6334033613445378
12,186,duplicated,98,0.7216386554621849
13,20,distinct,20,0.5378151260504203
13,20,duplicated,20,0.7205882352941176
13,40,distinct,40,0.5850840336134453
13,40,duplicated,33,0.6754201680672268
13,60,distinct,60,0.6334033613445378
13,60,duplicated,50,0.7363445378151261
13,80,distinct,80,0.6733193277310925
13,80,duplicated,58,0.7006302521008403
13,100,distinct,100,0.6470588235294118
13,100,duplicated,65,0.7394957983193278
13,130,distinct,130,0.6649159663865547
