rep,Method,Item,Accuracy
3,MICE (logistic),Feeling anxious,0.6923076923076923
3,MICE (logistic),Feeling of guilt,0.5
3,MICE (logistic),Problems of bonding with baby,0.43478260869565216
3,MICE (random forest),Age,0.20689655172413793
3,MICE (random forest),Feeling sad or Tearful,0.5
3,MICE (random forest),Irritable towards baby & partner,0.48
3,MICE (random forest),Trouble sleeping at night,0.375
3,MICE (random forest),Problems concentrating or making decision,0.5769230769230769
3,MICE (random forest),Overeating or loss of appetite,0.6764705882352942
3,MICE (random forest),Feeling anxious,0.7307692307692307
3,MICE (random forest),Feeling of guilt,0.46875
3,MICE (random forest),Problems of bonding with baby,0.30434782608695654
3,Iterative MCA (2 dims),Age,0.3103448275862069
3,Iterative MCA (2 dims),Feeling sad or Tearful,0.5357142857142857
3,Iterative MCA (2 dims),Irritable towards baby & partner,0.32
3,Iterative MCA (2 dims),Trouble sleeping at night,0.3333333333333333
3,Iterative MCA (2 dims),Problems concentrating or making decision,0.4230769230769231
3,Iterative MCA (2 dims),Overeating or loss of appetite,0.6176470588235294
3,Iterative MCA (2 dims),Feeling anxious,0.6538461538461539
3,Iterative MCA (2 dims),Feeling of guilt,0.53125
3,Iterative MCA (2 dims),Problems of bonding with baby,0.2608695652173913
4,Marginal sampling,Age,0.21739130434782608
4,Marginal sampling,Feeling sad or Tearful,0.35
4,Marginal sampling,Irritable towards baby & partner,0.25806451612903225
4,Marginal sampling,Trouble sleeping at night,0.25
4,Marginal sampling,Problems concentrating or making decision,0.32142857142857145
4,Marginal sampling,Overeating or loss of appetite,0.4583333333333333
4,Marginal sampling,Feeling anxious,0.5
4,Marginal sampling,Feeling of guilt,0.2962962962962963
4,Marginal sampling,Problems of bonding with baby,0.16
4,Mode,Age,0.08695652173913043
4,Mode,Feeling sad or Tearful,0.4
4,Mode,Irritable towards baby & partner,0.3225806451612903
4,Mode,Trouble sleeping at night,0.4642857142857143
4,Mode,Problems concentrating or making decision,0.5
4,Mode,Overeating or loss of appetite,0.7916666666666666
4,Mode,Feeling anxious,0.6875
4,Mode,Feeling of guilt,0.3333333333333333
4,Mode,Problems of bonding with baby,0.32
4,"KNN (Hamming, k=7)",Age,0.43478260869565216
4,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.35
